SampleID,BarcodeSequence,LinkerPrimerSequence,Age,Age_weeks,Tissue,Flock,Flock2,AgeTissue,AgeTissueFlock,Weight_g,Bird#,NDV,REO,HEV,BA,MG,MM,MS,Description
cI111,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,151,7,7949,796,8947,0,Negative,Negative,Negative,I111
cI112,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,152,8,3531,2291,0,279,Negative,Negative,Negative,I112
cI113,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,109,9,4425,612,4957,0,Negative,Negative,Negative,I113
cI114,,,One,1,IL ,RD3 ,RD3 ,OneIL,OneIL_RD3,160,10,8326,470,8381,0,Negative,Negative,Negative,I114
cI115,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,634,35,0,364,530,0,Negative,Negative,Negative,I115
cI116,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,782,36,0,330,0,0,Negative,Negative,Negative,I116
cI117,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,582,37,0,213,639,0,Negative,Negative,Negative,I117
cI118,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,662,38,0,279,0,0,Negative,Negative,Negative,I118
cI119,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,755,39,0,69,0,0,Negative,Negative,Negative,I119
cI120,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,712,40,0,296,592,0,Negative,Negative,Negative,I120
cI121,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,437,41,0,668,0,0,Negative,Negative,Negative,I121
cI122,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,750,42,0,401,232,0,Negative,Negative,Negative,I122
cI123,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,568,43,0,418,0,0,Negative,Negative,Negative,I123
cI124,,,Three,3,IL ,RD3 ,RD3 ,ThreeIL,ThreeIL_RD3,753,44,0,488,0,0,Negative,Negative,Negative,I124
cI125,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1204,55,0,759,793,312,Negative,Negative,Negative,I125
cI126,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1499,56,0,964,286,0,Negative,Negative,Negative,I126
cI127,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1708,57,0,116,220,0,Negative,Negative,Negative,I127
cI128,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1663,58,0,279,209,0,Negative,Negative,Negative,I128
cI129,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1540,59,0,401,292,0,Negative,Negative,Negative,I129
cI130,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,959,60,0,213,655,0,Negative,Negative,Negative,I130
cI131,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1237,61,0,279,206,0,Negative,Negative,Negative,I131
cI132,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1259,62,0,330,407,0,Negative,Negative,Negative,I132
cI133,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1362,63,0,541,1547,1143,Negative,Negative,Negative,I133
cI134,,,Five,5,IL ,RD3 ,RD3 ,FiveIL,FiveIL_RD3,1374,64,0,612,249,0,Negative,Negative,Negative,I134
cI135,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,3500,75,0,1151,320,0,Negative,Negative,Negative,I135
cI136,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,3000,76,0,612,767,0,Negative,Negative,Negative,I136
cI137,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,3700,77,0,1189,0,0,Negative,Negative,Negative,I137
cI138,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,2800,78,0,1020,5918,0,Negative,Negative,Negative,I138
cI139,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,3100,79,0,541,1072,0,Negative,Negative,Negative,I139
cI140,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,3300,80,0,668,823,0,Negative,Negative,Negative,I140
cI141,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,3500,81,0,559,538,954,Negative,Negative,Negative,I141
cI142,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,2700,82,0,1420,801,708,Negative,Negative,Negative,I142
cI143,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,3800,83,0,741,0,0,Negative,Negative,Negative,I143
cI144,,,Eight,8,IL ,RD3 ,RD3-DR,EightIL,EightIL_RD3,3300,84,0,470,400,0,Negative,Negative,Negative,I144
cI145,,,Twelve,12,IL ,RD3 ,RD3-DR,TwelveIL,TwelveIL_RD3,9200,85,0,541,14089,0,Negative,Negative,Negative,I145
cI146,,,Twelve,12,IL ,RD3 ,RD3-DR,TwelveIL,TwelveIL_RD3,7400,86,0,296,10452,0,Negative,Negative,Negative,I146
cI147,,,Twelve,12,IL ,RD3 ,RD3-DR,TwelveIL,TwelveIL_RD3,8800,87,0,1971,12663,0,Negative,Negative,Negative,I147
cI148,,,Twelve,12,IL ,RD3 ,RD3-DR,TwelveIL,TwelveIL_RD3,8600,88,0,1344,14636,481,Negative,Negative,Negative,I148
cI149,,,Twelve,12,IL ,RD3 ,RD3-DR,TwelveIL,TwelveIL_RD3,7800,89,0,347,11396,0,Negative,Negative,Negative,I149
cI150,,,Twelve,12,IL ,RD3 ,RD3-DR,TwelveIL,TwelveIL_RD3,7300,90,0,759,8417,0,Negative,Negative,Negative,I150
cI151,,,Twelve,12,IL ,RD3 ,RD3-DR,TwelveIL,TwelveIL_RD3,8400,91,0,2311,19444,0,Negative,Negative,Negative,I151
cI152,,,Twelve,12,IL ,RD3 ,RD3-DR,TwelveIL,TwelveIL_RD3,8500,92,0,290,9335,0,Negative,Negative,Negative,I152
cI153,,,Sixteen,16,IL ,RD3 ,RD3-DR,SixteenIL,SixteenIL_RD3,14200,105,0,673,12586,0,Negative,Negative,Negative,I153
